CustomerID,Age,Gender,Tenure,MonthlyCharges,Contract,PaymentMethod,TotalCharges,Churn
1,56,Female,68,147.58,Two year,Bank transfer,10052.03,No
2,69,Male,32,22.54,Month-to-month,Mailed check,686.78,No
3,46,Female,10,52.47,One year,Electronic check,537.88,No
4,32,Male,22,109.67,Month-to-month,Mailed check,2390.04,Yes
5,60,Female,54,130.98,Month-to-month,Credit card,7081.28,No
6,25,Female,29,111.55,Month-to-month,Credit card,3167.13,Yes
7,78,Female,20,63.23,One year,Electronic check,1307.22,No
8,38,Male,11,96.63,Month-to-month,Bank transfer,1093.32,Yes
9,56,Male,43,74.06,Month-to-month,Mailed check,3230.58,Yes
10,75,Other,62,109.39,One year,Electronic check,6799.64,No
11,36,Female,37,13.78,Month-to-month,Electronic check,431.68,No
12,40,Female,69,93.99,Month-to-month,Mailed check,6454.75,No
13,28,Male,18,69.8,Month-to-month,Electronic check,1210.16,No
14,28,Female,17,121.38,Month-to-month,Mailed check,2061.9,Yes
15,41,Male,53,95.98,Month-to-month,Mailed check,5130.1,No
16,70,Male,17,50.15,Month-to-month,Credit card,919.96,Yes
17,53,Female,14,120.37,Month-to-month,Electronic check,1712.28,Yes
18,57,Other,35,42.19,Month-to-month,Bank transfer,1564.41,No
19,41,Male,33,66.99,Two year,Bank transfer,2210.85,No
20,20,Male,27,141.36,One year,Electronic check,3920.94,No
21,39,Male,7,83.53,Month-to-month,Electronic check,533.81,Yes
22,70,Female,25,54.75,Two year,Electronic check,1386.68,No
23,19,Female,71,137.43,Month-to-month,Bank transfer,9770.71,Yes
24,41,Male,48,33.4,Month-to-month,Mailed check,1615.62,Yes
25,61,Female,24,122.46,Month-to-month,Credit card,2997.1,No
26,47,Male,19,35.69,One year,Credit card,607.2,No
27,55,Male,10,143.23,Month-to-month,Mailed check,1386.31,Yes
28,19,Male,61,97.72,Month-to-month,Credit card,5961.34,No
29,77,Male,72,147.64,Month-to-month,Mailed check,10585.5,Yes
30,38,Male,52,48.49,One year,Electronic check,2501.87,No
31,50,Male,55,32.19,Month-to-month,Bank transfer,1787.38,No
32,29,Female,60,83.9,Two year,Bank transfer,5113.09,No
33,75,Male,34,24.34,Month-to-month,Mailed check,841.98,No
34,39,Male,70,106.56,Month-to-month,Electronic check,7452.56,Yes
35,78,Male,32,75.74,One year,Mailed check,2398.39,No
36,61,Male,64,21.56,Month-to-month,Credit card,1427.11,No
37,42,Male,47,134.74,Month-to-month,Bank transfer,6380.88,No
38,66,Male,32,88.35,Month-to-month,Bank transfer,2846.87,No
